,Pclass,Sex,Age,Fare,Cabin,Embarked,Title,FamilySize
68,3,1,1.0,0.0,2.0,0,1,2.4
69,3,0,1.0,0.0,2.0,0,0,0.8
70,2,0,2.0,0.0,1.8,0,0,0.0
71,3,1,0.0,2.0,2.0,0,1,2.8
72,2,0,1.0,2.0,1.8,0,0,0.0
73,3,0,1.0,0.0,2.0,1,0,0.4
74,3,0,2.0,2.0,2.0,0,0,0.0
75,3,0,1.0,0.0,2.0,0,0,0.0
76,3,0,2.0,0.0,2.0,0,0,0.0
77,3,0,2.0,0.0,2.0,0,0,0.0
78,2,0,0.0,1.0,1.8,0,3,0.8
79,3,1,2.0,0.0,2.0,0,1,0.0
80,3,0,1.0,0.0,2.0,0,0,0.0
81,3,0,2.0,0.0,2.0,0,0,0.0
82,3,1,1.0,0.0,2.0,2,1,0.0
83,1,0,2.0,2.0,0.8,0,0,0.0
84,2,1,1.0,0.0,1.8,0,1,0.0
85,3,1,2.0,0.0,2.0,0,2,1.2
86,3,0,0.0,2.0,2.0,0,0,1.6
87,3,0,2.0,0.0,2.0,0,0,0.0
88,1,1,1.0,3.0,0.8,0,1,2.0
89,3,0,1.0,0.0,2.0,0,0,0.0
90,3,0,2.0,0.0,2.0,0,0,0.0
91,3,0,1.0,0.0,2.0,0,0,0.0
92,1,0,3.0,2.0,1.6,0,0,0.4
93,3,0,1.0,1.0,2.0,0,0,1.2
94,3,0,3.0,0.0,2.0,0,0,0.0
95,3,0,2.0,0.0,2.0,0,0,0.0
96,1,0,4.0,2.0,0.0,1,0,0.0
97,1,0,1.0,2.0,1.2,1,0,0.4
98,2,1,2.0,1.0,1.8,0,2,0.4
99,2,0,2.0,1.0,1.8,0,0,0.4
100,3,1,2.0,0.0,2.0,0,1,0.0
101,3,0,2.0,0.0,2.0,0,0,0.0
102,1,0,1.0,2.0,1.2,0,0,0.4
103,3,0,2.0,0.0,2.0,0,0,0.0
104,3,0,3.0,0.0,2.0,0,0,0.8
105,3,0,2.0,0.0,2.0,0,0,0.0
106,3,1,1.0,0.0,2.0,0,1,0.0
107,3,0,2.0,0.0,2.0,0,0,0.0
108,3,0,3.0,0.0,2.0,0,0,0.0
109,3,1,1.0,1.0,2.0,2,1,0.4
110,1,0,3.0,2.0,0.8,0,0,0.0
111,3,1,0.0,0.0,2.0,1,1,0.4
112,3,0,1.0,0.0,2.0,0,0,0.0
113,3,1,1.0,0.0,2.0,0,1,0.4
114,3,1,1.0,0.0,2.0,1,1,0.0
115,3,0,1.0,0.0,2.0,0,0,0.0
116,3,0,4.0,0.0,2.0,2,0,0.0
117,2,0,2.0,1.0,1.8,0,0,0.4
118,1,0,1.0,3.0,0.4,1,0,0.4
119,3,1,0.0,2.0,2.0,0,1,2.4
120,2,0,1.0,2.0,1.8,0,0,0.8
121,3,0,2.0,0.0,2.0,0,0,0.0
122,2,0,2.0,2.0,1.8,1,0,0.4
123,2,1,2.0,0.0,1.6,0,1,0.0
124,1,0,3.0,2.0,1.2,0,0,0.4
125,3,0,0.0,0.0,2.0,1,3,0.4
126,3,0,2.0,0.0,2.0,2,0,0.0
127,3,0,1.0,0.0,2.0,0,0,0.0
128,3,1,1.0,1.0,2.0,1,1,0.8
129,3,0,3.0,0.0,2.0,0,0,0.0
130,3,0,2.0,0.0,2.0,1,0,0.0
131,3,0,1.0,0.0,2.0,0,0,0.0
132,3,1,3.0,0.0,2.0,0,2,0.4
133,2,1,2.0,1.0,1.8,0,2,0.4
134,2,0,1.0,0.0,1.8,0,0,0.0
135,2,0,1.0,0.0,1.8,1,0,0.0
136,1,1,1.0,1.0,1.2,0,1,0.8
137,1,0,3.0,2.0,0.8,0,0,0.4
138,3,0,0.0,0.0,2.0,0,0,0.0
139,1,0,1.0,2.0,0.4,1,0,0.0
140,3,1,2.0,0.0,2.0,1,2,0.8
141,3,1,1.0,0.0,2.0,0,1,0.0
142,3,1,1.0,0.0,2.0,0,2,0.4
143,3,0,1.0,0.0,2.0,2,0,0.0
144,2,0,1.0,0.0,1.8,0,0,0.0
145,2,0,1.0,2.0,1.8,0,0,0.8
146,3,0,2.0,0.0,2.0,0,0,0.0
147,3,1,0.0,2.0,2.0,0,1,1.6
148,2,0,3.0,1.0,2.0,0,0,0.8
149,2,0,3.0,0.0,1.8,0,3,0.0
150,2,0,3.0,0.0,1.8,0,3,0.0
151,1,1,1.0,2.0,0.8,0,2,0.4
152,3,0,3.0,0.0,2.0,0,0,0.0
153,3,0,3.0,0.0,2.0,0,0,0.8
154,3,0,2.0,0.0,2.0,0,0,0.0
155,1,0,3.0,2.0,0.8,1,0,0.4
156,3,1,0.0,0.0,2.0,2,1,0.0
157,3,0,2.0,0.0,2.0,0,0,0.0
158,3,0,2.0,0.0,2.0,0,0,0.0
159,3,0,0.0,2.0,2.0,0,3,4.0
160,3,0,3.0,0.0,2.0,0,0,0.4
161,2,1,3.0,0.0,1.8,0,2,0.0
162,3,0,1.0,0.0,2.0,0,0,0.0
163,3,0,1.0,0.0,2.0,0,0,0.0
164,3,0,0.0,2.0,2.0,0,3,2.0
165,3,0,0.0,1.0,2.0,0,3,0.8
166,1,1,2.0,2.0,1.6,0,2,0.4
167,3,1,3.0,1.0,2.0,0,2,2.0
168,1,0,2.0,1.0,0.8,0,0,0.0
169,3,0,2.0,2.0,2.0,0,0,0.0
170,1,0,3.0,2.0,0.4,0,0,0.0
171,3,0,0.0,1.0,2.0,2,3,2.0
172,3,1,0.0,0.0,2.0,0,1,0.8
173,3,0,1.0,0.0,2.0,0,0,0.0
174,1,0,3.0,2.0,0.0,1,0,0.0
175,3,0,1.0,0.0,2.0,0,0,0.8
176,3,0,0.0,1.0,2.0,0,3,1.6
177,1,1,3.0,1.0,0.8,1,1,0.0
178,2,0,2.0,0.0,1.8,0,0,0.0
179,3,0,2.0,0.0,2.0,0,0,0.0
180,3,1,1.0,2.0,2.0,0,1,4.0
181,2,0,2.0,0.0,1.8,1,0,0.0
182,3,0,0.0,2.0,2.0,0,3,2.4
183,2,0,0.0,2.0,2.0,0,3,1.2
184,3,1,0.0,1.0,2.0,0,1,0.8
185,1,0,2.0,2.0,0.0,0,0,0.0
186,3,1,2.0,0.0,2.0,2,2,0.4
187,1,0,3.0,1.0,0.8,0,0,0.0
188,3,0,3.0,0.0,2.0,2,0,0.8
189,3,0,2.0,0.0,2.0,0,0,0.0
190,2,1,2.0,0.0,1.8,0,2,0.0
191,2,0,1.0,0.0,1.8,0,0,0.0
192,3,1,1.0,0.0,2.0,0,1,0.4
193,2,0,0.0,1.0,2.0,0,3,0.8
194,1,1,3.0,1.0,0.4,1,2,0.0
195,1,1,3.0,3.0,0.4,1,1,0.0
196,3,0,2.0,0.0,2.0,2,0,0.0
197,3,0,3.0,0.0,2.0,0,0,0.4
198,3,1,1.0,0.0,2.0,2,1,0.0
199,2,1,1.0,0.0,1.8,0,1,0.0
200,3,0,2.0,0.0,2.0,0,0,0.0
201,3,0,2.0,2.0,2.0,0,0,4.0
202,3,0,2.0,0.0,2.0,0,0,0.0
203,3,0,3.0,0.0,2.0,1,0,0.0
204,3,0,1.0,0.0,2.0,0,0,0.0
205,3,1,0.0,0.0,2.4,0,1,0.4
206,3,0,2.0,0.0,2.0,0,0,0.4
207,3,0,1.0,1.0,2.0,1,0,0.0
208,3,1,0.0,0.0,2.0,2,1,0.0
209,1,0,3.0,2.0,0.0,1,0,0.0
210,3,0,1.0,0.0,2.0,0,0,0.0
211,2,1,2.0,1.0,1.8,0,1,0.0
212,3,0,1.0,0.0,2.0,0,0,0.0
213,2,0,2.0,0.0,1.8,0,0,0.0
214,3,0,2.0,0.0,2.0,2,0,0.4
215,1,1,2.0,3.0,1.2,1,1,0.4
216,3,1,2.0,0.0,2.0,0,1,0.0
217,2,0,3.0,1.0,1.8,0,0,0.4
218,1,1,2.0,2.0,1.2,1,1,0.0
219,2,0,2.0,0.0,1.8,0,0,0.0
220,3,0,0.0,0.0,2.0,0,0,0.0
221,2,0,2.0,0.0,1.8,0,0,0.0
222,3,0,3.0,0.0,2.0,0,0,0.0
223,3,0,2.0,0.0,2.0,0,0,0.0
224,1,0,3.0,2.0,0.8,0,0,0.4
225,3,0,1.0,0.0,2.0,0,0,0.0
226,2,0,1.0,0.0,1.8,0,0,0.0
227,3,0,1.0,0.0,2.0,0,0,0.0
228,2,0,1.0,0.0,1.8,0,0,0.0
229,3,1,1.0,1.0,2.0,0,1,1.6
230,1,1,2.0,2.0,0.8,0,2,0.4
231,3,0,2.0,0.0,2.0,0,0,0.0
232,2,0,3.0,0.0,1.8,0,0,0.0
233,3,1,0.0,2.0,2.0,0,1,2.4
234,2,0,1.0,0.0,1.8,0,0,0.0
235,3,1,1.0,0.0,2.0,0,1,0.0
236,2,0,3.0,1.0,1.8,0,0,0.4
237,2,1,0.0,1.0,1.8,0,1,0.8
238,2,0,1.0,0.0,1.8,0,0,0.0
239,2,0,2.0,0.0,1.8,0,0,0.0
240,3,1,1.0,0.0,2.0,1,1,0.4
241,3,1,1.0,0.0,2.0,2,1,0.4
242,2,0,2.0,0.0,1.8,0,0,0.0
243,3,0,1.0,0.0,2.0,0,0,0.0
244,3,0,2.0,0.0,2.0,1,0,0.0
245,1,0,3.0,2.0,0.8,2,3,0.8
246,3,1,1.0,0.0,2.0,0,1,0.0
247,2,1,1.0,0.0,1.8,0,2,0.8
248,1,0,3.0,2.0,1.2,0,0,0.8
249,2,0,3.0,1.0,1.8,0,3,0.4
250,3,0,2.0,0.0,2.0,0,0,0.0
251,3,1,2.0,0.0,2.4,0,2,0.8
252,1,0,3.0,1.0,0.8,0,0,0.0
253,3,0,2.0,0.0,2.0,0,0,0.4
254,3,1,3.0,1.0,2.0,0,2,0.8
255,3,1,2.0,0.0,2.0,1,2,0.8
256,1,1,2.0,2.0,0.8,1,2,0.0
257,1,1,2.0,2.0,0.4,0,1,0.0
258,1,1,2.0,3.0,0.8,1,1,0.0
259,2,1,3.0,1.0,1.8,0,2,0.4
260,3,0,2.0,0.0,2.0,2,0,0.0
261,3,0,0.0,2.0,2.0,0,3,2.4
262,1,0,3.0,2.0,1.6,0,0,0.8
263,1,0,3.0,0.0,0.4,0,0,0.0
264,3,1,1.0,0.0,2.0,2,1,0.0
265,2,0,2.0,0.0,1.8,0,0,0.0
266,3,0,0.0,2.0,2.0,0,0,2.0
267,3,0,1.0,0.0,2.0,0,0,0.4
268,1,1,3.0,3.0,0.8,0,2,0.4
269,1,1,2.0,3.0,0.8,0,1,0.0
270,1,0,2.0,2.0,0.8,0,0,0.0
271,3,0,1.0,0.0,2.0,0,0,0.0
272,2,1,3.0,1.0,1.8,0,2,0.4
273,1,0,3.0,1.0,0.8,1,0,0.4
274,3,1,1.0,0.0,2.0,2,1,0.0
275,1,1,4.0,2.0,1.2,0,1,0.4
276,3,1,3.0,0.0,2.0,0,1,0.0
277,2,0,2.0,0.0,1.8,0,0,0.0
278,3,0,0.0,1.0,2.0,2,3,2.0
279,3,1,2.0,1.0,2.0,0,2,0.8
280,3,0,4.0,0.0,2.0,2,0,0.0
281,3,0,2.0,0.0,2.0,0,0,0.0
282,3,0,0.0,0.0,2.0,0,0,0.0
283,3,0,1.0,0.0,2.0,0,0,0.0
284,1,0,2.0,1.0,0.0,0,0,0.0
285,3,0,2.0,0.0,2.0,1,0,0.0
286,3,0,2.0,0.0,2.0,0,0,0.0
287,3,0,1.0,0.0,2.0,0,0,0.0
288,2,0,3.0,0.0,1.8,0,0,0.0
289,3,1,1.0,0.0,2.0,2,1,0.0
290,1,1,1.0,2.0,0.8,0,1,0.0
291,1,1,1.0,2.0,0.4,1,2,0.4
292,2,0,2.0,0.0,1.2,1,0,0.0
293,3,1,1.0,0.0,2.0,0,1,0.0
294,3,0,1.0,0.0,2.0,0,0,0.0
295,1,0,2.0,1.0,0.8,1,0,0.0
296,3,0,1.0,0.0,2.0,1,0,0.0
297,1,1,0.0,3.0,0.8,0,1,1.2
298,1,0,2.0,2.0,0.8,0,0,0.0
299,1,1,3.0,3.0,0.4,1,2,0.4
300,3,1,1.0,0.0,2.0,2,1,0.0
301,3,0,2.0,1.0,2.0,2,0,0.8
302,3,0,1.0,0.0,2.0,0,0,0.0
303,2,1,1.0,0.0,1.6,2,1,0.0
304,3,0,2.0,0.0,2.0,0,0,0.0
305,1,0,0.0,3.0,0.8,0,3,1.2
306,1,1,1.0,3.0,0.8,1,1,0.0
307,1,1,1.0,3.0,0.8,1,2,0.4
308,2,0,2.0,1.0,1.8,1,0,0.4
309,1,1,2.0,2.0,1.6,1,1,0.0
310,1,1,1.0,2.0,0.8,1,1,0.0
311,1,1,1.0,3.0,0.4,1,1,1.6
312,2,1,1.0,1.0,1.8,0,2,0.8
313,3,0,2.0,0.0,2.0,0,0,0.0
314,2,0,3.0,1.0,1.8,0,0,0.8
315,3,1,1.0,0.0,2.0,0,1,0.0
316,2,1,1.0,1.0,1.8,0,2,0.4
317,2,0,3.0,0.0,1.8,0,3,0.0
318,1,1,2.0,3.0,0.8,0,1,0.8
319,1,1,3.0,3.0,1.6,1,2,0.8
320,3,0,1.0,0.0,2.0,0,0,0.0
321,3,0,2.0,0.0,2.0,0,0,0.0
322,2,1,2.0,0.0,1.8,2,1,0.0
323,2,1,1.0,1.0,1.8,0,2,0.8
324,3,0,2.0,2.0,2.0,0,0,4.0
325,1,1,2.0,3.0,0.8,1,1,0.0
326,3,0,3.0,0.0,2.0,0,0,0.0
327,2,1,2.0,0.0,1.2,0,2,0.0
328,3,1,2.0,1.0,2.0,0,2,0.8
329,1,1,0.0,2.0,0.4,1,1,0.4
330,3,1,1.0,1.0,2.0,2,1,0.8
331,1,0,3.0,1.0,0.8,0,0,0.0
332,1,0,3.0,3.0,0.8,0,0,0.4
333,3,0,0.0,1.0,2.0,0,0,0.8
334,1,1,2.0,3.0,0.8,0,2,0.4
335,3,0,2.0,0.0,2.0,0,0,0.0
336,1,0,2.0,2.0,0.8,0,0,0.4
337,1,1,3.0,3.0,1.6,1,1,0.0
338,3,0,3.0,0.0,2.0,0,0,0.0
339,1,0,3.0,2.0,2.8,0,0,0.0
340,2,0,0.0,1.0,2.0,0,3,0.8
341,1,1,1.0,3.0,0.8,0,1,2.0
342,2,0,2.0,0.0,1.8,0,0,0.0
343,2,0,1.0,0.0,1.8,0,0,0.0
344,2,0,2.0,0.0,1.8,0,0,0.0
345,2,1,1.0,0.0,2.0,0,1,0.0
346,2,1,3.0,0.0,1.8,0,1,0.0
347,3,1,2.0,0.0,2.0,0,2,0.4
348,3,0,0.0,0.0,2.0,0,3,0.8
349,3,0,3.0,0.0,2.0,0,0,0.0
350,3,0,1.0,0.0,2.0,0,0,0.0
351,1,0,2.0,2.0,0.8,0,0,0.0
352,3,0,0.0,0.0,2.0,1,0,0.8
353,3,0,1.0,1.0,2.0,0,0,0.4
354,3,0,2.0,0.0,2.0,1,0,0.0
355,3,0,2.0,0.0,2.0,0,0,0.0
356,1,1,1.0,2.0,1.6,0,1,0.4
357,2,1,3.0,0.0,1.8,0,1,0.0
358,3,1,1.0,0.0,2.0,2,1,0.0
359,3,1,1.0,0.0,2.0,2,1,0.0
360,3,0,3.0,1.0,2.0,0,0,2.0
361,2,0,2.0,1.0,1.8,1,0,0.4
362,3,1,3.0,0.0,2.0,1,2,0.4
363,3,0,2.0,0.0,2.0,0,0,0.0
364,3,0,2.0,0.0,2.0,2,0,0.4
365,3,0,2.0,0.0,2.0,0,0,0.0
366,1,1,3.0,2.0,1.2,1,2,0.4
367,3,1,2.0,0.0,2.0,1,2,0.0
368,3,1,1.0,0.0,2.0,2,1,0.0
369,1,1,1.0,2.0,0.4,1,3,0.0
370,1,0,1.0,2.0,1.6,1,0,0.4
371,3,0,1.0,0.0,2.0,0,0,0.4
372,3,0,1.0,0.0,2.0,0,0,0.0
373,1,0,1.0,3.0,0.8,1,0,0.0
374,3,1,0.0,1.0,2.0,0,1,1.6
375,1,1,2.0,2.0,0.8,1,2,0.4
376,3,1,1.0,0.0,2.0,0,1,0.0
377,1,0,2.0,3.0,0.8,1,0,0.8
378,3,0,1.0,0.0,2.0,1,0,0.0
379,3,0,1.0,0.0,2.0,0,0,0.0
380,1,1,3.0,3.0,0.8,1,1,0.0
381,3,1,0.0,0.0,2.0,1,1,0.8
382,3,0,2.0,0.0,2.0,0,0,0.0
383,1,1,2.0,2.0,0.8,0,2,0.4
384,3,0,2.0,0.0,2.0,0,0,0.0
385,2,0,1.0,2.0,1.8,0,0,0.0
386,3,0,0.0,2.0,2.0,0,3,2.8
387,2,1,2.0,0.0,1.8,0,1,0.0
388,3,0,2.0,0.0,2.0,2,0,0.0
389,2,1,1.0,0.0,1.8,1,1,0.0
390,1,0,2.0,3.0,0.4,0,0,1.2
391,3,0,1.0,0.0,2.0,0,0,0.0
392,3,0,2.0,0.0,2.0,0,0,0.8
393,1,1,1.0,3.0,1.2,1,1,0.4
394,3,1,1.0,0.0,2.4,0,2,0.8
395,3,0,1.0,0.0,2.0,0,0,0.0
396,3,1,2.0,0.0,2.0,0,1,0.0
397,2,0,3.0,1.0,1.8,0,0,0.0
398,2,0,1.0,0.0,1.8,0,3,0.0
399,2,1,2.0,0.0,1.8,0,2,0.0
400,3,0,3.0,0.0,2.0,0,0,0.0
401,3,0,1.0,0.0,2.0,0,0,0.0
402,3,1,1.0,0.0,2.0,0,1,0.4
403,3,0,2.0,0.0,2.0,0,0,0.4
404,3,1,1.0,0.0,2.0,0,1,0.0
405,2,0,2.0,1.0,1.8,0,0,0.4
406,3,0,3.0,0.0,2.0,0,0,0.0
407,2,0,0.0,1.0,1.8,0,3,0.8
408,3,0,1.0,0.0,2.0,0,0,0.0
409,3,1,1.0,1.0,2.0,0,1,1.6
410,3,0,2.0,0.0,2.0,0,0,0.0
411,3,0,2.0,0.0,2.0,2,0,0.0
412,1,1,2.0,2.0,0.8,2,1,0.4
413,2,0,2.0,0.0,1.8,0,0,0.0
414,3,0,3.0,0.0,2.0,0,0,0.0
415,3,1,2.0,0.0,2.0,0,2,0.0
416,2,1,2.0,2.0,1.8,0,2,0.8
417,2,1,1.0,0.0,1.8,0,1,0.8
418,2,0,2.0,0.0,1.8,0,0,0.0
419,3,1,0.0,1.0,2.0,0,1,0.8
420,3,0,2.0,0.0,2.0,1,0,0.0
421,3,0,1.0,0.0,2.0,2,0,0.0
422,3,0,2.0,0.0,2.0,0,0,0.0
423,3,1,2.0,0.0,2.0,0,2,0.8
424,3,0,1.0,1.0,2.0,0,0,0.8
425,3,0,2.0,0.0,2.0,0,0,0.0
426,2,1,2.0,1.0,1.8,0,2,0.4
427,2,1,1.0,1.0,1.8,0,1,0.0
428,3,0,2.0,0.0,2.0,2,0,0.0
429,3,0,2.0,0.0,1.6,0,0,0.0
430,1,0,2.0,1.0,0.8,0,0,0.0
431,3,1,2.0,0.0,2.0,0,2,0.4
432,2,1,3.0,1.0,1.8,0,2,0.4
433,3,0,1.0,0.0,2.0,0,0,0.0
434,1,0,3.0,2.0,1.6,0,0,0.4
435,1,1,0.0,3.0,0.4,0,1,1.2
436,3,1,1.0,2.0,2.0,0,1,1.6
437,2,1,1.0,1.0,1.8,0,2,2.0
438,1,0,4.0,3.0,0.8,0,0,2.0
439,2,0,2.0,0.0,1.8,0,0,0.0
440,2,1,3.0,1.0,1.8,0,2,0.8
441,3,0,1.0,0.0,2.0,0,0,0.0
442,3,0,1.0,0.0,2.0,0,0,0.4
443,2,1,2.0,0.0,1.8,0,3,0.0
444,3,0,2.0,0.0,2.0,0,0,0.0
445,1,0,0.0,2.0,0.0,0,3,0.8
446,2,1,0.0,1.0,1.8,0,1,0.4
447,1,0,2.0,1.0,0.8,0,0,0.0
448,3,1,0.0,1.0,2.0,1,1,1.2
449,1,0,3.0,2.0,0.8,0,3,0.0
450,2,0,2.0,1.0,1.8,0,0,1.2
451,3,0,2.0,1.0,2.0,0,0,0.4
452,1,0,2.0,1.0,0.8,1,0,0.0
453,1,0,3.0,2.0,0.8,1,0,0.4
454,3,0,2.0,0.0,2.0,0,0,0.0
455,3,0,2.0,0.0,2.0,1,0,0.0
456,1,0,4.0,1.0,1.6,0,0,0.0
457,1,1,2.0,2.0,1.2,0,2,0.4
458,2,1,3.0,0.0,1.8,0,1,0.0
459,3,0,2.0,0.0,2.0,2,0,0.0
460,1,0,3.0,1.0,1.6,0,0,0.0
461,3,0,2.0,0.0,2.0,0,0,0.0
462,1,0,3.0,2.0,1.6,0,0,0.0
463,2,0,3.0,0.0,1.8,0,0,0.0
464,3,0,2.0,0.0,2.0,0,0,0.0
465,3,0,3.0,0.0,2.0,0,0,0.0
466,2,0,2.0,0.0,1.8,0,0,0.0
467,1,0,3.0,1.0,0.8,0,0,0.0
468,3,0,2.0,0.0,2.0,2,0,0.0
469,3,1,0.0,1.0,2.0,1,1,1.2
470,3,0,2.0,0.0,2.0,0,0,0.0
471,3,0,3.0,0.0,2.0,0,0,0.0
472,2,1,2.0,1.0,1.8,0,2,1.2
473,2,1,1.0,0.0,1.2,1,2,0.0
474,3,1,1.0,0.0,2.0,0,1,0.0
475,1,0,2.0,2.0,0.0,0,0,0.0
476,2,0,2.0,1.0,1.8,0,0,0.4
477,3,0,2.0,0.0,2.0,0,0,0.4
478,3,0,1.0,0.0,2.0,0,0,0.0
479,3,1,0.0,0.0,2.0,0,1,0.4
480,3,0,0.0,2.0,2.0,0,3,2.8
481,2,0,2.0,0.0,1.8,0,0,0.0
482,3,0,3.0,0.0,2.0,0,0,0.0
483,3,1,4.0,0.0,2.0,0,2,0.0
484,1,0,1.0,2.0,0.4,1,0,0.4
485,3,1,1.0,1.0,2.0,0,1,1.6
486,1,1,2.0,2.0,0.8,0,2,0.4
487,1,0,3.0,1.0,0.4,1,0,0.0
488,3,0,2.0,0.0,2.0,0,0,0.0
489,3,0,0.0,0.0,2.0,0,3,0.8
490,3,0,2.0,1.0,2.0,0,0,0.4
491,3,0,1.0,0.0,2.0,0,0,0.0
492,1,0,3.0,2.0,0.8,0,0,0.0
493,1,0,4.0,2.0,0.8,1,0,0.0
494,3,0,1.0,0.0,2.0,0,0,0.0
495,3,0,2.0,0.0,2.0,1,0,0.0
496,1,1,3.0,2.0,1.2,1,1,0.4
497,3,0,2.0,0.0,2.0,0,0,0.0
498,1,1,1.0,3.0,0.8,0,2,1.2
499,3,0,1.0,0.0,2.0,0,0,0.0
500,3,0,1.0,0.0,2.0,0,0,0.0
501,3,1,1.0,0.0,2.0,2,1,0.0
502,3,1,1.0,0.0,2.0,2,1,0.0
503,3,1,3.0,0.0,2.0,0,1,0.0
504,1,1,0.0,2.0,0.4,0,1,0.0
505,1,0,1.0,3.0,0.8,1,0,0.4
506,2,1,2.0,1.0,1.8,0,2,0.8
507,1,0,2.0,1.0,0.8,0,0,0.0
508,3,0,2.0,1.0,2.0,0,0,0.0
509,3,0,1.0,2.0,2.0,0,0,0.0
510,3,0,2.0,0.0,2.0,2,0,0.0
511,3,0,2.0,0.0,2.0,0,0,0.0
512,1,0,2.0,1.0,1.6,0,0,0.0
513,1,1,3.0,2.0,0.8,1,2,0.4
514,3,0,1.0,0.0,2.0,0,0,0.0
515,1,0,3.0,2.0,1.2,0,0,0.0
516,2,1,2.0,0.0,2.0,0,2,0.0
517,3,0,2.0,1.0,2.0,2,0,0.0
518,2,1,2.0,1.0,1.8,0,2,0.4
519,3,0,2.0,0.0,2.0,0,0,0.0
520,1,1,2.0,2.0,0.4,0,1,0.0
521,3,0,1.0,0.0,2.0,0,0,0.0
522,3,0,2.0,0.0,2.0,1,0,0.0
523,1,1,3.0,2.0,0.4,1,2,0.4
524,3,0,2.0,0.0,2.0,1,0,0.0
525,3,0,3.0,0.0,2.0,2,0,0.0
526,2,1,3.0,0.0,1.8,0,1,0.0
527,1,0,2.0,3.0,0.8,0,0,0.0
528,3,0,3.0,0.0,2.0,0,0,0.0
529,2,0,1.0,0.0,1.8,0,0,1.2
530,2,1,0.0,1.0,1.8,0,1,0.8
531,3,0,2.0,0.0,2.0,1,0,0.0
532,3,0,1.0,0.0,2.0,1,0,0.8
533,3,1,2.0,1.0,2.0,1,2,0.8
534,3,1,2.0,0.0,2.0,0,1,0.0
